,app_name,categoryId,reviewId,sentenceId,feature,review,sentence,emotion-primary-agreement
65,Repeat Habit - Habit tracker f,PRODUCTIVITY,ef82cfd5-1e68-49bc-931a-af555a53c5ea,2,Text to Speech,"I really like that you offer different themes. The quotes are nice and the UI is simple and easy to work with. I wish there were more shades of colors to work with for reminders. Also the voice notification sounds pretty rough;;; idk if it's just my phone's text to speech or the app though. Either way, thank you for creating this ad free!",I wish there were more shades of colors to work with for reminders.,Anticipation
2,WhatsApp Messenger,COMMUNICATION,9bd6882e-0cf3-45a6-8aaa-d6c247c958af,0,Privacy Protection,It has advanced privacy protection.,It has advanced privacy protection.,Trust
77,ColorNote Notepad Notes,PRODUCTIVITY,9cdb10ab-3279-4d3c-b596-f2e98f24efe6,0,Diary,"Use it as my Diary, Really handy 😀 👍. Had 2 transfer this app over recently 2 a new phone & my Great friend managed 2 retrieve All my info, I would have been COMPLETELY LOST without it. SO HANDY.","Use it as my Diary, Really handy 😀 👍.",Trust
46,Loop Habit Tracker,PRODUCTIVITY,12c50631-61b6-4164-b2b4-4e939923bff1,0,No Subscription,"Simple and pleasant to use, no subscription model or annoying pop ups, just a really good habit tracking ""checklist"" type of app. Loop has become such an essential tool for me, thank you for the great app!","Simple and pleasant to use, no subscription model or annoying pop ups, just a really good habit tracking ""checklist"" type of app.",Joy
12,Listing it! - Checklist,PRODUCTIVITY,2cde4d1a-2d8a-4ae9-b284-1872dd209b8f,0,Sync between devices,Nice design --- needs automatic sync between devices.,Nice design --- needs automatic sync between devices.,Anticipation
85,WLOX First Alert Weather,WEATHER,4066d8c4-bb3e-4807-bf6a-8c89f94bde8c,0,Favorites,My favorite channel since moving here 20 years ago. Love all of the meteorologists!!,My favorite channel since moving here 20 years ago.,Trust
38,Huawei Health,HEALTH_AND_FITNESS,d5af1764-e235-4ed3-bfb5-b14f9a7beaa4,0,Logging,Was a brilliant app when I was using it on a Huawei phone..since I changed phone it doesn't work half the time at logging exercise...each morning I have to force stop it to get it to track my steps for the day...I hate having to change to another app has this one has my exercise logged the last few years,Was a brilliant app when I was using it on a Huawei phone..since I changed phone it doesn't work half the time at logging exercise...each morning I have to force stop it to get it to track my steps for the day...I hate having to change to another app has this one has my exercise logged the last few years,Disgust
36,Verizon Messages,COMMUNICATION,3e3a2aad-cb8f-4fdb-b33e-7df2cd16c95c,0,Customizing,Love it & the customizing you can do to your contacts! ❤️,Love it & the customizing you can do to your contacts!,Joy
61,Citymapper: All Your Transport,MAPS_AND_NAVIGATION,2131e8c8-d01e-4e12-b122-4b74c2018864,0,routing,Latest update blocks ability to choose a bus-only routing in London without moving to the premium version. Been a huge fan of Citymapper in the past and have recommended it highly but this change means I will have to stop using it.,Latest update blocks ability to choose a bus-only routing in London without moving to the premium version.,Sadness
22,Habit Tracker,PRODUCTIVITY,9d32d996-4362-47f6-b9ec-490f1ca76ce5,1,Habit Tracker,Very helpful. I build new and healthy habits using Habit Tracker.,I build new and healthy habits using Habit Tracker.,Trust
62,Clock,TOOLS,1b7d3e8f-5d6f-4f73-a630-d532c57890b1,2,Playlists,Routines do not run if you shut the alarm off to quickly. I assume the phone thinks you were already up so no point of running it. The YouTube Music function plays the same playlist everytime even if it's a random auto generated playlist like the Discover Mix. Why doesn't it update everytime the alarm goes off? It makes me sick of some songs after a few days,The YouTube Music function plays the same playlist everytime even if it's a random auto generated playlist like the Discover Mix.,Sadness
98,"Squid: Take Notes, Markup PDFs",PRODUCTIVITY,589b130e-748f-4ee0-89a5-42fc3bc0b3a0,0,Share notes,Would love a companion desktop app to continue editing note or open up shared notebook.,Would love a companion desktop app to continue editing note or open up shared notebook.,Anticipation
33,Easy Notes - Notebook Note pad,PRODUCTIVITY,2fd08983-7957-48b8-9bba-3e2f519e1c32,1,Share notes,Love the colors and writing options . Also great that u can share notes as photos as well,Also great that u can share notes as photos as well,Joy
11,Pomodoro Timer,PRODUCTIVITY,2a4016c8-f8cb-4097-8aac-92a19598d425,0,Minimalistic,"Minimalistic, but useful app without ads. Reccomend","Minimalistic, but useful app without ads.",Joy
93,Clock,TOOLS,0a4e981c-25be-4f24-be07-17a7a6338020,0,Transparency,Needs to have option to control the level of transparency.,Needs to have option to control the level of transparency.,Anticipation
58,"Notepad Pro - Notes, Todo List",PRODUCTIVITY,ee8ae115-f9a0-49d1-aef0-c7a720cf7c7c,0,Team work,Very good team work. Plz add text font colors and hightlight options.,Very good team work.,Joy
6,Couch to 5k & 10k,HEALTH_AND_FITNESS,d72d6508-bdc6-433d-82b4-dd908bee3128,0,Running,"I find this app frustrating as it has stopped working and not for the first time , today I was on week 7 workout 1 and it stopped working on my 25 minute run so I had to try and gauge myself when to stop, will be using a running watch from now on","I find this app frustrating as it has stopped working and not for the first time , today I was on week 7 workout 1 and it stopped working on my 25 minute run so I had to try and gauge myself when to stop, will be using a running watch from now on",Disgust
27,Telegram,COMMUNICATION,8bebdd68-ccc8-402d-9dad-ce1eea56fdb6,0,Video chat,Suggestion please change name of video chat to audio chat or give separate option people in group gets confused even if audio chat is going on it shows as video chat some people will not join.,Suggestion please change name of video chat to audio chat or give separate option people in group gets confused even if audio chat is going on it shows as video chat some people will not join.,Anticipation
86,Telegram,COMMUNICATION,6e17fd24-2ece-4611-9376-27adc1b7f788,1,Cloud Storage,Work on cloud storage privacy and we can't send multiple files in cloud storage i.e. saved message at one time. Increase upload and download speed of cloud storage.,Increase upload and download speed of cloud storage.,Anticipation
4,Navigation for Google Maps Go,TRAVEL_AND_LOCAL,b0193656-2156-4195-88ba-4fa1fe1c228f,1,Transparency,"Privately & secure p.a . Transparency prevail the true , more secure and legibility features to featured name places or street. They can do everything you want to know with your legal needs in life with testimony . With God all things are possible. God is the greatest","Transparency prevail the true , more secure and legibility features to featured name places or street.",Trust
32,Cozi Family Organizer,PRODUCTIVITY,b1cd6a58-de17-4e3c-ae48-5f914a23affc,1,Barcode scanner,"It is very good a keeps the family aware the articles to buy, no matter who goes to the stores. I would love a barcode scanner to be included.",I would love a barcode scanner to be included.,Anticipation
0,ColorNote Notepad Notes,PRODUCTIVITY,329fba26-f22f-482b-bdba-8b6bea289455,1,tutorials,"Brilliant app with a very helpful tutorial. Plenty of ""send"" options as well to easily transfer notes to other devices or to cloud storage (Google Drive, etc.)","Plenty of ""send"" options as well to easily transfer notes to other devices or to cloud storage (Google Drive, etc.)",Joy
44,Truecaller: Caller ID & Block,COMMUNICATION,5bf8b814-dd17-44da-add0-41df40b9a3f1,2,Actions,"For some reason doesn't show all calls, even though it showed its card on screen when the call was ringing. Also calls that were logged a while ago do not show now. Another weird issue is I got a transaction SMS from the bank that had the words ""For lost/stolen cards call xxxx"" and Truecaller gave a notification with the title ""Stolen Card"" and the last 4 digits of my card which was weird","Another weird issue is I got a transaction SMS from the bank that had the words ""For lost/stolen cards call xxxx"" and Truecaller gave a notification with the title ""Stolen Card"" and the last 4 digits of my card which was weird",Surprise
94,Cute Note DDay Todo,PRODUCTIVITY,caf0b672-698f-44f3-899a-d6204f241be0,5,Stickers,Hi . So i been using this its very good . I can . Write down my todos . I love this app . Btw if u add stickers then it will be good like anywhere u want just pick one . I hope u do add that . Anways noice app and good . So i hope ppl will download it .,Btw if u add stickers then it will be good like anywhere u want just pick one .,Anticipation
43,WhatsApp Messenger,COMMUNICATION,ceb28a08-6d36-4777-8e8c-b47d425109da,0,File transfer,Good for messeaging purpose and file transfer,Good for messeaging purpose and file transfer,Joy
10,Pomodoro Timer,PRODUCTIVITY,04c790b4-d9f6-4e74-ba55-55411aa119f3,1,Timer,"Great, straight to the point app I'd give it 5 starts if not for the confusing pause/continue button. But then again, you are not supposed to pause a pomodoro timer, right?","But then again, you are not supposed to pause a pomodoro timer, right?",Anticipation
62,Cute Note DDay Todo,PRODUCTIVITY,37b74b3f-7b1c-4f93-8a94-2bc43bcb8efb,1,To do lists,Very helpful But the to do list should be marked at home page .....when we mark any task on weight it enters in the app,But the to do list should be marked at home page .....when we mark any task on weight it enters in the app,Sadness
17,Loop Habit Tracker,PRODUCTIVITY,9a22acd2-8a54-4491-a545-38b822d66227,0,Automatic Backup,I just there would be automatic backup/sync with Google Account,I just there would be automatic backup/sync with Google Account,Sadness
45,To Do List and Goal planner,PRODUCTIVITY,fbe73175-a6ce-4c06-86dc-88d86927f90b,1,Recurring tasks,"Absolutely LOVE this app My favourite features are recurring tasks - brilliant for implementing new habits and calendar where I can schedule future to do things on specific days. I tried many apps ""to do lists"" before and none of them had these options",My favourite features are recurring tasks - brilliant for implementing new habits and calendar where I can schedule future to do things on specific days.,Trust
0,Turtl,PRODUCTIVITY,61bfe7a4-c63d-479a-87ba-a727a3ece5a9,2,Lightweight,I ❤ Turtl. It has never let me down. The software app is lightweight and doesn't require a lot of permissions.,The software app is lightweight and doesn't require a lot of permissions.,Joy
78,True Phone Dialer & Contacts,COMMUNICATION,13fa1f05-61b7-4bb4-8d13-3d76da91d4cf,0,Phone calls,"I swear, this app helped me when my phone call dialer failed me without my consent.. I love this app like tomorrow no dey....🤣🤣🤣🤣","I swear, this app helped me when my phone call dialer failed me without my consent..",Trust
52,ProBikeGarage - Bicycle mainte,HEALTH_AND_FITNESS,ac3abd55-bd96-471c-b61a-c1eabb406408,1,Logging,"Great app. Love the tracking and reminders and easy sink with Strava rides. But, I can't just log a service without it being on an interval. Adjustments or non interval (time, milage, number of rides) types of logging. Just an ""As Required"" intervals. I have seen other comments about this from 2+ years ago, but still can't do it in early 2022!!! That would make it 5 stars for sure!!!",Love the tracking and reminders and easy sink with Strava rides.,Joy
70,Loop Habit Tracker,PRODUCTIVITY,24a195a5-34d1-4f2c-83d6-5b19656af054,0,Habit tracker,"Best habit tracker I've ever used, free, no ads, data can be exported, overall great.","Best habit tracker I've ever used, free, no ads, data can be exported, overall great.",Trust
19,Simple Habit: Meditation,HEALTH_AND_FITNESS,87741183-0db8-406a-b90d-24477df515b2,0,Bots,"Glitchy, playlists reset and customer service is basically a robot. Was my go to but not worth the $$$ now.","Glitchy, playlists reset and customer service is basically a robot.",Sadness
64,Loop Habit Tracker,PRODUCTIVITY,2a3708ba-7e06-4259-9b24-df8a72c69689,0,Push Notifications,"App has potential but some fundimental UI issues I couldn't get past, eg push notifications / reminders don't take you to a call to action. Entering daily mesurable data is finicky. Need to feel effortless to use but falls short of this.","App has potential but some fundimental UI issues I couldn't get past, eg push notifications / reminders don't take you to a call to action.",Sadness
44,ColorNote Notepad Notes,PRODUCTIVITY,329fba26-f22f-482b-bdba-8b6bea289455,1,Cloud Storage,"Brilliant app with a very helpful tutorial. Plenty of ""send"" options as well to easily transfer notes to other devices or to cloud storage (Google Drive, etc.)","Plenty of ""send"" options as well to easily transfer notes to other devices or to cloud storage (Google Drive, etc.)",Joy
81,blocos - time block & daily pl,PRODUCTIVITY,8053cf11-8403-41bd-bf52-13294fe1f2cd,2,Sync Across Devices,I really love this app. Helps me get organized. it doesn't seem to sync across devices is my only complaint.,it doesn't seem to sync across devices is my only complaint.,Sadness
28,SLOWLY - Make Global Friends,LIFESTYLE,b278cd6b-020d-4d5c-9568-0d917d84fbef,2,Instant Messaging,"at first I didn't grasp the concept and was abit bored but now i love it so much.Ah this is an amazing app.No instant messaging pressure,you don't have to worry bout replying on an 'emergency basis' it's basically good for mental health and meeting amazing people is great.I highly recommend it.","No instant messaging pressure,you don't have to worry bout replying on an 'emergency basis' it's basically good for mental health and meeting amazing people is great.",Joy
40,Telegram,COMMUNICATION,102935b8-84cc-43e7-8559-9643f9c1f899,0,Python,People are adding fake members via python by scrapping to make their group look huge. Its wrong. Fake members are being added . Its unjust for other small group which doesn't indulge in such malpractice,People are adding fake members via python by scrapping to make their group look huge.,Fear
25,GPS Running Cycling & Fitness,HEALTH_AND_FITNESS,917e6f10-641d-428a-93fc-7921b55f2cef,1,Synchronization,"No-nonsense, non-bloated, and technically superior. Great features such as synchronization to Google Fit and GPX file export and backup. So many other apps have excessive privilege requirements, huge annoying advertisements, etc.... this one doesn't! There are some improvements to be made to the UI, but nothing that is a dealbreaker.",Great features such as synchronization to Google Fit and GPX file export and backup.,Joy
54,Messenger,COMMUNICATION,b418c585-6474-4e2d-9c03-29e5893a6f6a,1,Group chat,"Im not happy with the new update infact very mad this new system of being limited to how often you can post, comment is absolute garbage!!! Im just trying to talk to my friends (in a group chat) until ""sending failed""-""we limit this and that to prevent spammers"" pleaasseee oMg im just trying to talk to my friends ;-;","Im just trying to talk to my friends (in a group chat) until ""sending failed""-""we limit this and that to prevent spammers"" pleaasseee oMg im just trying to talk to my friends ;-;",Anger
55,MCBackup - My Contacts Backup,PRODUCTIVITY,f84bbf67-38a0-48e7-a966-baade1ccebdc,0,Backup to Google Drive,Will not backup to Google Drive or via Bluetooth,Will not backup to Google Drive or via Bluetooth,Sadness
25,Weather Live - Widgets & Radar,WEATHER,5c9ff790-bb03-4486-a05f-8d6c8133f9ce,0,Transparency,I like the size options and you can control transparency,I like the size options and you can control transparency,Joy
23,WhatsApp Messenger,COMMUNICATION,169a27c8-4a36-4e12-a386-71c28e5807f5,0,Privacy,Until you change the privacy settings I won't update,Until you change the privacy settings I won't update,Disgust
50,Microsoft OneNote: Save Notes,PRODUCTIVITY,c03d84d2-18f6-4f9d-85c5-4778433a8fe4,0,Share notes,It's unable to do something as basic as open a shared notebook,It's unable to do something as basic as open a shared notebook,Sadness
46,Telegram,COMMUNICATION,511945e7-0df5-4c6f-b0d8-c99fe17fd609,0,Cloud Storage,"The best app with overall skill- fastest messaging, highest security, personal cloud storage, optimized on memory and battery usage. Only a better UI is needed to race with the Facebook Messenger. edit: let us hide All Chats tab! Annoying! And wahtsapp runs better on low ram device than Telegram!","The best app with overall skill- fastest messaging, highest security, personal cloud storage, optimized on memory and battery usage.",Joy
81,MAPS.ME: Offline maps GPS Nav,TRAVEL_AND_LOCAL,f8419ee9-3ed8-4d10-b8c2-8d9611514023,0,offline,Despite city maps are downloaded navigator does not work offline,Despite city maps are downloaded navigator does not work offline,Sadness
8,BlackNote Notepad Notes,PRODUCTIVITY,aa34201d-9c28-44d9-91bd-02c56306c6c3,0,Notebook,It works like a notebook can't complain,It works like a notebook can't complain,Joy
79,Huawei Health,HEALTH_AND_FITNESS,efe6623c-a255-478c-8629-bd8724428533,0,Macros,Great app but sadly you can't connect my fitness pal and no food/calorie/macro tracker in app 😩 only thing it's missing. As with watch as it's fab.,Great app but sadly you can't connect my fitness pal and no food/calorie/macro tracker in app 😩 only thing it's missing.,Sadness
84,Clock,TOOLS,fa49e764-c1b8-4848-8aed-0b69836be7bf,0,Alarm,"I like the app it even works as an alarm clock with a selection of alarms, alarm volume control, and it even has a snooze button which allows you to set the snooze time as well.","I like the app it even works as an alarm clock with a selection of alarms, alarm volume control, and it even has a snooze button which allows you to set the snooze time as well.",Trust
39,Microsoft Translator,PRODUCTIVITY,98fd717b-bbf5-4a18-87df-e8623259a0e6,0,Translator,"It is so helpful , awesome 😎 translator .","It is so helpful , awesome 😎 translator .",Joy
67,ColorNote Notepad Notes,PRODUCTIVITY,60beb36c-cfb1-44e8-94f4-6b1c770bb45c,0,Text formatting,"Very nice, easy to store information in text format.","Very nice, easy to store information in text format.",Joy
47,Telegram,COMMUNICATION,c9bf311f-1396-490d-8582-d5f44b7d5b64,1,File sharing,"Previously it was very good but since telegram applied speed limit for non-premium members , it's performance is worse. 😂but i hope sooner or later there will be a new chatting and file sharing app which will beat telegram..... just like telegram beating whatsapp.",😂but i hope sooner or later there will be a new chatting and file sharing app which will beat telegram..... just like telegram beating whatsapp.,Anticipation
94,Cozi Family Organizer,PRODUCTIVITY,3362cb9b-f47a-4680-9ccc-650e58d88d23,0,Family Calendar,Great app for using as a family calendar and a shared shopping list. Plus it's free! I don't really use any of the other features.,Great app for using as a family calendar and a shared shopping list.,Joy
53,"Squid: Take Notes, Markup PDFs",PRODUCTIVITY,10607aac-4647-45d4-a00f-beab5e750606,0,Diary,"This is a very nice app/ Diary with nice features, one thing i would suggest is that when you write in a particular folder it keeps a copy in the recent also which is not required. The rest is beautiful !",This is a very nice app/,Joy
43,Phone by Google,TOOLS,fd014d93-248b-4a75-82ec-daadb80d8017,0,Call recording,"I having Google Pixel 3 phone, but call recording option is not available on this app please help me.","I having Google Pixel 3 phone, but call recording option is not available on this app please help me.",Fear
37,GPS Map Camera,TRAVEL_AND_LOCAL,4f79f7d7-c1f4-4362-bf2e-412f8d5a3a86,0,Tagging,When I installed this I can't make settings which shows longitude and latitude Geo tagging considered... Plz fix this issue and this app is not working same as in all mobiles,When I installed this I can't make settings which shows longitude and latitude Geo tagging considered...,Sadness
3,Boosted Time Tracker,PRODUCTIVITY,09629059-3f4f-4ce3-9a8c-ccc7b30abb40,1,Subtasks,"Absolutely in love with the ability to create and track multiple projects and tasks within them. Something's I'd have liked to see - get reports of specific projects - ability to add subtasks to tasks But that's no dampner, boosted is really good!",Something's I'd have liked to see - get reports of specific projects - ability to add subtasks to tasks,Anticipation
5,Loop Habit Tracker,PRODUCTIVITY,edfedbcd-9e3b-4e52-8148-3bce87ec2cd7,3,Multi Device Support,"Please add ability to monitor how mush time do we spend on habit. Fo example, I've planed to practice grammar 1 hour a day, so every time I checked grammar widget the app also measure how much time I spend on the hapit. if I reached my goal the day percentage would be displayed as 100%. Also make it cloud base and multi device support.",Also make it cloud base and multi device support.,Anticipation
53,Fabulous Daily Routine Planner,HEALTH_AND_FITNESS,64067cae-140d-47d8-bf87-164a72cee6e3,0,Wellness,Good app but I'm disgusted that a wellness app like this has such a disgustingly difficult method for cancelling subscriptions. I'm building a new habit list for the rest of my life. Task 1. Never subscribe to fabulous.,Good app but I'm disgusted that a wellness app like this has such a disgustingly difficult method for cancelling subscriptions.,Disgust
33,Instagram,SOCIAL,7da1ccec-1288-47b7-907a-df55bf2534fa,0,Networking,Excellent app for social networking and one of the top highest users app in India,Excellent app for social networking and one of the top highest users app in India,Joy
97,Habit Tracker,PRODUCTIVITY,327a420e-f00c-402c-b95f-4c8006ae67c4,3,Actions,"App is good. But i got the premieum just for the widgets. Unfortunately they don't work ! Most of the time they are unclickable, whatever item i press on the widget, no action occurs, I can-t record my habit doing. I need help with this.","Most of the time they are unclickable, whatever item i press on the widget, no action occurs, I can-t record my habit doing.",Sadness
56,ColorNote Notepad Notes,PRODUCTIVITY,99929715-19dd-4200-bb0c-ce5066543810,1,Synchronization,The best I know of. Still fabulous 6 years later on multiple devices synchronization included!,Still fabulous 6 years later on multiple devices synchronization included!,Joy
84,Samsung Notes,PRODUCTIVITY,2126a17c-9ff8-4d49-92b2-2201d2eb5407,3,Desktop app,"I generally love the app, but there are several things I'm really missing: 1. Subscripts and superscripts - I write a lot of chemical formula and physical units, and that would make my life easier 2. More levels of lists - I'd love to have a) instead of 2. when I indent the list 3. The normal desktop app (without playing around with installations via online version of Microsoft Store) is a must-have 4. Horizontal pages",Horizontal pages,Neutral
49,True Phone Dialer & Contacts,COMMUNICATION,1583cdb0-28c6-4568-8063-df4d06180fa1,0,Customizable,Good ... Customizable... Light ... Love it.,Good ... Customizable... Light ...,Joy
80,Citymapper: All Your Transport,MAPS_AND_NAVIGATION,ba9f44e6-7a31-4c61-af72-fe3e59e3141a,1,routing,"Used to be incredible but now routing powers, and audio instructions are going behind a subscription I'll be looking for an alternative. Train routing is essential for South London because disruption on an irrelevant part of a rail network hides the unaffected National Rail services from the classic view. Super short sighted and this is coming from an investor!",Train routing is essential for South London because disruption on an irrelevant part of a rail network hides the unaffected National Rail services from the classic view.,Neutral
34,Pomodoro Timer,PRODUCTIVITY,4880ba63-93ee-4429-8453-f6a38a3a2a24,0,Clean design,"Great timer app, easy to use and clean design. I hope that posting a review stops it nagging me for a rating every day!","Great timer app, easy to use and clean design.",Joy
7,Any.do - To do list & Calendar,PRODUCTIVITY,5abe1e07-9daa-40af-b8ad-a625ac1e5cec,0,Planner,3 stars for asking me to rate a planner/task app I installed 1hr ago so I don't know how well it works for a few days minimum before asking for review. Now I won't remember to give a better rating if it's great bc they needed their review ASAP,3 stars for asking me to rate a planner/task app I installed 1hr ago so I don't know how well it works for a few days minimum before asking for review.,Surprise
10,Clock,TOOLS,971b3e43-cfbf-415f-bbc3-02eb4681dc29,1,Alarm,"I am having the same issue since the last update. Notification is showing ànd showing two alarms but nothing turned on , even deleted the alarms and still have the notification","Notification is showing ànd showing two alarms but nothing turned on , even deleted the alarms and still have the notification",Sadness
91,Play Services Info (Update),TOOLS,bf1bb5af-1140-419d-ad65-882712e912b6,0,Team work,Efficient team work tsappreciated,Efficient team work tsappreciated,Reject
83,Loop Habit Tracker,PRODUCTIVITY,c35c6f9f-d9b9-4497-a990-28bd36b8012e,1,Monetization,Wonderful app! Does exactly what it needs to in an elegant way and doesnt force monetization or clunky features on you.,Does exactly what it needs to in an elegant way and doesnt force monetization or clunky features on you.,Joy
75,ColorNote Notepad Notes,PRODUCTIVITY,efb5f618-d1ef-49d3-8ac6-9d7c41898273,0,Sync Across Devices,"Handy, easy to use and syncs across devices. No reason to look elsewhere. I just noticed I've been using this note app for about 9 years, and I still love it. It's simple, the interface is clean and uncluttered unlike the note apps from Google and Microsoft. This is a great app! Thanks!","Handy, easy to use and syncs across devices.",Joy
80,All Note - editor and more,PRODUCTIVITY,f5a470cf-194f-4d7b-a2fd-50d2dadcb227,3,Text formatting,A very effective and multi-functional app for note taking and more. It lets you grab rich text format from any source via copy-paste (to get text with format you have to use a ctr-v able soft keyboard such as Hacker's Keyboard). You can also insert pictures and even maps with location info. Its many functions and commands are fully explained in some clear and short tutorials. Basic usage is straightforward for beginners. Useful and well done.,Its many functions and commands are fully explained in some clear and short tutorials.,Joy
89,VeryFitPro,HEALTH_AND_FITNESS,0fecfb07-38ae-486b-badc-890e05b32b92,3,Calorie Counting,"Tonight it inverted my blood pressure numbers (69/122)! It does that often! Can I fix or delete the entry? Also, I wish they'd add calorie counting!","Also, I wish they'd add calorie counting!",Anticipation
8,WhatsApp Messenger,COMMUNICATION,1458f11e-8484-43c6-aa23-fe6a40f239ff,0,Calls,Video call very slow...video call cut nhi hota h,Video call very slow...video call cut nhi hota h,Sadness
