app_name,categoryId,reviewId,sentenceId,at,score,feature,review,sentence,QM-emotion-A,QM-emotion-B,comments,MO-emotion-A,MO-emotion-B,MO-comments,JM-emotion-A,JM-emotion-B,comments.1,emotion-A-agreement,emotion-B-agreement
Fabulous Daily Routine Planner,HEALTH_AND_FITNESS,3533cc94-b5d7-4ba3-b03c-914c7baf60d6,2,"Aug 11, 2022",1,f_330,"I agreed to the free trial period to explore the app before investing full steam. When I realized there was a pending expense I tried to Disable and Deregister. Even uninstalled, since there were no subscriptions logged in Play. But a few days later my PayPal was debited- leading to bank account debit. Now I can't get my meds for my MS. I logged my query on their site and emailed, and waiting for a reply.","Even uninstalled, since there were no subscriptions logged in Play.",Disgust,,,Disgust,,,Fear,Neutral,,Disgust,
Huawei Health,HEALTH_AND_FITNESS,c67a45d1-21eb-40ba-bdf6-7812b8ea7291,0,"Mar 02, 2022",5,f_9,Good sleep tracking and analysis.,Good sleep tracking and analysis.,Joy,,,Joy,,,Joy,,,Joy,
LINE: Calls & Messages,COMMUNICATION,2ca4f3ff-d06e-40bf-b5c1-808cb177f61b,1,"Sep 15, 2022",1,f_174,"Halo LINE, sebenarnya saya mau mewakilkan banyaknya keluh kesah yang terjadi selama bertahun-tahun di LINE, tapi sepertinya LINE tidak ada niatan untuk membuat kenyamanan pada GROUP CHAT tanpa FITUR ADMIN. Sudah banyak kejadian Group Chat hilang/diacak-acak oleh oknum tidak bertanggungjawab menggunakan invite link dan menghapus anggota Group Chat tanpa alasan apapun dan mengakibatkan beberapa kerugian untuk banyak pihak. Saya sangat kecewa walau saya sebenarnya senang menggunakan LINE. Thanks.",Sudah banyak kejadian Group Chat hilang/diacak-acak oleh oknum tidak bertanggungjawab menggunakan invite link dan menghapus anggota Group Chat tanpa alasan apapun dan mengakibatkan beberapa kerugian untuk banyak pihak.,Reject,,,Reject,,,Reject,,,Reject,
SMS Backup & Restore,TOOLS,6000698d-b587-42de-ba78-4610c363d227,1,"Sep 04, 2022",5,f_321,"Works like a champ! I've been able to restore call logs and messages multiple times thanks to this app. LAN backup would be nice, but cloud is fine too. Local works too, then a file transfer to the LAN (smb) or to the device needed. I only wish it was available on iPhone as well. So many worthless back-up apps in the A store and too many imposters there trying to look like this app.",I've been able to restore call logs and messages multiple times thanks to this app.,Trust,,,Trust,,,Trust,,,Trust,
Garmin Smartphone Link,TRAVEL_AND_LOCAL,69da3bbf-4870-45f6-9fc1-a81b1bd06a5d,2,"Jul 11, 2022",1,f_26,This app has not been updated for 3 years and it shows. It is always on our turns itself on after force shutting. Automatically turns the Bluetooth on even when not using the GPS Navigation device.,Automatically turns the Bluetooth on even when not using the GPS Navigation device.,Sadness,,,Sadness,,,Surprise,Sadness,,Sadness,
ColorNote Notepad Notes,PRODUCTIVITY,8d8e2690-204f-49cb-b577-1139327dd252,0,"May 28, 2022",3,f_209,Please develop iOS version and let the notes sync between devices. I have been using this notepad for like 10 years now,Please develop iOS version and let the notes sync between devices.,Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
SMS Backup+,TOOLS,2d4664dc-e3a2-48db-a85f-48dd822e99bb,2,"Oct 19, 2020",2,f_431,"I've been using thsi for years. Recently, though, it stopped backing up automatically. I can still run manual backups, but the automatic backups just aren't kicking off as they used to.","I can still run manual backups, but the automatic backups just aren't kicking off as they used to.",Sadness,,,Sadness,,,Sadness,,,Sadness,
True Phone Dialer & Contacts,COMMUNICATION,4513b041-5a46-4bfb-9883-2c21aa752c29,0,"Apr 13, 2022",5,f_67,Highly Recommended best app in this category.,Highly Recommended best app in this category.,Trust,,,Trust,,,Trust,,,Trust,
Binaural Beats Therapy,HEALTH_AND_FITNESS,32cbf237-3f9b-4f78-a59f-0bf55ba0614a,5,"Nov 26, 2020",5,f_41,"Works well. Lots of choices. You will need to adjust settings if you find the ""voices"" to loud. No ads and completely free, although they do take donations. Completely stable and will work on the background when listening to podcasts, audiobooks or music. Works offline.",Works offline.,Joy,,,Joy,,,Joy,,,Joy,
"Squid: Take Notes, Markup PDFs",PRODUCTIVITY,aac513de-a31c-46a7-b8d0-2589f8d63c5b,1,"Mar 28, 2022",4,f_259,recently downloaded. I was very dissappointed when I realized that hyperlinks were not accessible. I truly thought that I found a good one please add this feature,I was very dissappointed when I realized that hyperlinks were not accessible.,Sadness,,,Sadness,,,Sadness,,,Sadness,
Instagram,SOCIAL,62a460fb-5b51-4a0c-8ed8-23c564065475,3,"Sep 15, 2022",1,f_25,Tora beti ke chodo zujibergwa.... Khali net khata hai ... Babu ke taraf se ku6 पंक्तियाँ Tor mai ke boomar,Tor mai ke boomar,Reject,,,Reject,,,Reject,,,Reject,
Microsoft OneNote: Save Notes,PRODUCTIVITY,e24eab70-7713-44d3-bafa-d7bfb1a4aa19,9,"Sep 15, 2022",1,f_246,Please help. Unusable since last update. Possible credential issues. Don't know. telling me I need or sign in. Don't tell me steps to fix. Tried them. They don't work. Currently signed it. It won't sync my notebooks. Don't tell me to email. Desperately tried to fix it. signed in now but it refuses to open my notebooks. DO SOMETHING! I NEED THIS TO GET WORK DONE.,It won't sync my notebooks.,Sadness,,,Sadness,,,Sadness,,,Sadness,
SimpleMind Pro - Mind Mapping,PRODUCTIVITY,e8a8814a-b590-46fb-b11b-80476117dc7c,4,"Apr 26, 2022",5,f_175,"One of the best mindmap apps for both window and android. Highly recommended. Totally worth the price. This apps become even more powerful when combine with OneDrive (or supported cloud provider). It's make note taking, planning, project management, task, and everything in between. Had requested a few minor feature, but it's a super polish product.","It's make note taking, planning, project management, task, and everything in between.",Joy,,,Neutral,,,Joy,,,Joy,
Citymapper: All Your Transport,MAPS_AND_NAVIGATION,ab9f15e1-01ca-4ea3-8237-d4919067cb58,2,"Sep 09, 2022",3,f_240,Update: 9/2022 Dropped one star. Bus only routing used to be a paid of the free options now you have to pay for it. That's disappointing. I don't understand why should we pay for bus only routing.,Bus only routing used to be a paid of the free options now you have to pay for it.,Sadness,,,Sadness,,,Sadness,,,Sadness,
Play Services Info (Update),TOOLS,91cd1dda-fef2-4247-9e07-4a4d247fcd77,0,"Jan 28, 2021",5,f_478,Accounting,Accounting,Neutral,,,Neutral,,,Neutral,,,Neutral,
adidas Running: Sports Tracker,HEALTH_AND_FITNESS,e691683c-28f0-4320-b342-f111117939c8,0,"May 14, 2022",1,f_52,"Blasts you with push notification ads for Adidas' latest marketing initiative (currently, the plastic waste song-and-dance). They even go to the trouble of asking for marketing permission, but then do it anyway if you choose not to say yes. I guess you can just consider it the price to pay for a decent free run tracker.","Blasts you with push notification ads for Adidas' latest marketing initiative (currently, the plastic waste song-and-dance).",Anger,,blast',Sadness,,,Sadness,,,Sadness,
HabitNow Daily Routine Planner,PRODUCTIVITY,30625e37-edb7-4a70-8e4b-bb1e1221e84c,0,"Sep 14, 2022",3,f_109,"The app lacks two very important features for me: 1) calendar sync, so I could use only HabitNow without worrying on losing my calendar events. 2) Reminders with actions like complete, snooze and cancel. I was planning on buying the premium, but I'm sticking with other options for now","The app lacks two very important features for me: 1) calendar sync, so I could use only HabitNow without worrying on losing my calendar events.",Sadness,Anticipation,,Sadness,Fear,,Sadness,Anticipation,,Sadness,Anticipation
Ayoba,COMMUNICATION,5a9fd161-de51-40ff-9337-156db06c2e6b,0,"Aug 26, 2022",4,f_239,"If Ayoba wants to takeover the African social networking market, they must simply go the route of WhatsApp which promoted virtual contacts than actual contacts. At a later stage they can choose to capitalize on their actual contacts business model.","If Ayoba wants to takeover the African social networking market, they must simply go the route of WhatsApp which promoted virtual contacts than actual contacts.",Neutral,,nothing about the app,Neutral,,,Anticipation,Sadness,,Neutral,
Stopwatch Timer,TOOLS,e8bc08fa-9144-424e-955a-ecb8acf8665a,0,"Jun 03, 2022",5,f_63,"Great app for the users who needs a timer with stopwatch, easy interface and easy to use.","Great app for the users who needs a timer with stopwatch, easy interface and easy to use.",Joy,,,Joy,,,Joy,,,Joy,
WhatsApp Messenger,COMMUNICATION,ba79e8c8-80a3-4c16-a593-247972ca110e,0,"Sep 14, 2022",3,f_34,Whatsapp Voice Calls and Video Calls are not displayed on Screen When it Rings,Whatsapp Voice Calls and Video Calls are not displayed on Screen When it Rings,Sadness,,,Sadness,,,Sadness,,,Sadness,
Todoist: to-do list & planner,PRODUCTIVITY,4c54be09-1644-439f-bfd6-26482005ea75,2,"Jun 24, 2022",5,f_497,"I use this app everyday and upgraded to a subscription plan. The UI is pleasent enough especially with dark mode. I appreciate how modular the app is: you assign tasks for the day, have them repeat on specific days, assign tasks to projects, and add subtasks. This app has enhanced my productivity. My only complaint is that repeating subtasks don't visually disappear after having been completed that day. I do hope the developers make repeating subtasks behave identically to their parent tasks.","I appreciate how modular the app is: you assign tasks for the day, have them repeat on specific days, assign tasks to projects, and add subtasks.",Joy,,,Trust,,,Joy,,,Joy,
Smarter Time - Time Management,PRODUCTIVITY,ff69af19-f68f-4d49-8494-068019c90a8b,0,"Mar 06, 2021",5,f_162,"Quite amazed by this app and how it can provide a detailed, surprisingly accurate view of your 24-hour schedule that will allow you to balance and prioritize your time with features such as multi-sync, location-based awareness, and more. Looking forward to remain on the premium plan and to support this project. Developers, thank you for your many contributions and keep up the great work.","Quite amazed by this app and how it can provide a detailed, surprisingly accurate view of your 24-hour schedule that will allow you to balance and prioritize your time with features such as multi-sync, location-based awareness, and more.",Joy,,,Trust,,,Joy,,,Joy,
Telegram,COMMUNICATION,b4514315-0059-4ce4-91d2-3d67cc084790,0,"Aug 28, 2022",5,f_339,Telegram is good platform,Telegram is good platform,Joy,,,Joy,,,Joy,,,Joy,
SMS Backup+,TOOLS,75545171-6dfd-464c-9c5b-f977b6a202ff,0,"Jun 15, 2018",1,f_431,"Used to be a good app for automatic backups, but now, after the last update, it stopped doing automatic backups, no matter what I tried.","Used to be a good app for automatic backups, but now, after the last update, it stopped doing automatic backups, no matter what I tried.",Sadness,,,Sadness,,,Sadness,,,Sadness,
Material Notes: Colorful notes,PRODUCTIVITY,7e005530-2be4-4047-a8cd-a3f48465e8ea,1,"Jul 13, 2017",5,f_23,"Great app, it does the job just fine. The only thing i would add is ability to add hand written note, dark theme would be also welcome and maybe change icons to look more like material design. Keep up the good work!","The only thing i would add is ability to add hand written note, dark theme would be also welcome and maybe change icons to look more like material design.",Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
MSN Weather - Forecast & Maps,WEATHER,cb71c56c-ed19-43b7-8ccf-5f417d7d68ac,1,"Jul 23, 2022",1,f_15,"With the latest update, they turned weather into All-in-one app. The app now includes: Web browser, Games, News, OneDrive, Math solver, Unit converter, Translator, etc. The app is sluggish, scrolling is slow. What's really annoying is that each time you select one of the new 'features' it creates new app listing in the navigation stack, this you end up with flooded recent apps browser.","The app now includes: Web browser, Games, News, OneDrive, Math solver, Unit converter, Translator, etc.",Joy,,,Joy,,,Joy,,,Joy,
WhatsApp Messenger,COMMUNICATION,422691fd-8447-4cd8-9391-1e7f4c6dbc4e,0,"Sep 13, 2022",4,f_29,Make WhatsApp cloud base!! It's a nightmare to restore 10gb of backup 😑. Telegram is much appreciated for that.,Make WhatsApp cloud base!!,Anticipation,Anger,,Anticipation,,,Sadness,Anticipation,,Anticipation,
Huawei Health,HEALTH_AND_FITNESS,e8afd807-bd1e-4b04-92a5-9bb23610292a,2,"Jan 24, 2022",1,f_403,"Was quite good but I recently got a new phone and now run Android 11 rather than 10. Now, the step count takes data from my Huawei GT Pro 2 watch and combines it with data from the phone. As I cycle nearly every day the App combines walking from the watch and somehow treats my cycling as steps and produces a ridiculously high step count. I've emailed Huawei for help and got no response. Very poor customer care!! January 2022. Did 45 mile bike ride and Health App recorded this as 23000+ steps!?",As I cycle nearly every day the App combines walking from the watch and somehow treats my cycling as steps and produces a ridiculously high step count.,Sadness,,,Sadness,,,Sadness,Surprise,,Sadness,
10K Running: 0-5K-10K Training,HEALTH_AND_FITNESS,fa1d13b2-c708-4072-9672-03c1313a31c5,0,"Aug 16, 2022",5,f_506,Excellent running app. Nice graduated development. Works without any issue with Spotify. Would thoroughly recommend.,Excellent running app.,Joy,,,Joy,,,Joy,,,Joy,
ColorNote Notepad Notes,PRODUCTIVITY,8dc454c9-1b77-4868-b68d-8f1aa744a90a,0,"Sep 02, 2022",5,f_257,Very efficient and feature rich..syncs across devices...and is absolutely one of the best...i have been using it for years while comparing it to other apps,Very efficient and feature rich..syncs across devices...and is absolutely one of the best...i have been using it for years while comparing it to other apps,Trust,Joy,,Joy,Trust,,Trust,,,Trust,Joy
SMS Backup+,TOOLS,f885df09-ce9a-402f-bddc-2cb2900e65c9,0,"Jun 20, 2018",1,f_243,"It synced with gmail, backuped (or so it seemed), but won't restore. Output 
is the following: XOAuth authorization error. Please make sure you enabled 
IMAP in your Gmail account settings. I don't think it's necessary to add 
that IMAP is enabled. Thanks for making me lose my messages, so lame. Edit 
(2018): foolish be, didn't check if I've used this app before. It backed up 
2000 messages but restored only 500. Is it really so hard to make a simple 
sms backup app?","It synced with gmail, backuped (or so it seemed), but won't restore.",Sadness,,,Fear,,,Sadness,,,Sadness,
Height Increase Workout,HEALTH_AND_FITNESS,74cef01c-c229-4677-ae12-f6463b8186fd,0,"Apr 19, 2022",5,f_442,I definitely recommend this app for height incemrease I grew 4 inches tall in like...2.5 months which was cool I didn't go out for 3 months and all my friends were shocked to see me tall😌 plus stay consistent with the app and you'll get better results also try to use the food suggestions and sleep tracker along with it it'll give better results 🤗,I definitely recommend this app for height incemrease I grew 4 inches tall in like...2.5 months which was cool I didn't go out for 3 months and all my friends were shocked to see me tall😌 plus stay consistent with the app and you'll get better results also try to use the food suggestions and sleep tracker along with it it'll give better results 🤗,Trust,,,Trust,,,Joy,,,Trust,
Google Home,LIFESTYLE,42f12f15-ac7d-4d01-93e3-22322e318e67,1,"Sep 14, 2022",1,f_89,"Always buggy. Anti-consumer practices like removing IFTTT integration, no actual support except forums with other people upset with the same issues etc. Unintuitive app that doesn't allow for barely any customisation. There are many things that would make it better that at this point seem like they're left out because Google is trying to narrow its scope rather than let the consumer use the product how it could and should be used. We all know what Google is like.","Anti-consumer practices like removing IFTTT integration, no actual support except forums with other people upset with the same issues etc.",Sadness,Disgust,,Sadness,,,Sadness,,,Sadness,
Instagram,SOCIAL,a9b6203f-191f-400f-ba75-934a0b6c9c01,0,"Sep 14, 2022",1,f_319,"Reinstalled Receive a ""Google Smart Lock"" prompt, then App crashes No other options or actions available. Can not log in. Uninstalled and Reinstalled 3x, no difference.","Reinstalled Receive a ""Google Smart Lock"" prompt, then App crashes",Disgust,,,Sadness,,,Sadness,,,Sadness,
Telegram X,SOCIAL,35f124af-91f0-46f9-bec2-c0e95849e3af,0,"Jul 29, 2022",5,f_399,With cloud storage l am loving this 😍🥰,With cloud storage l am loving this 😍🥰,Joy,,,Trust,,,Joy,,,Joy,
Cozi Family Organizer,PRODUCTIVITY,b2751f4d-9e72-43e1-a2ca-6e66dc995135,1,"May 18, 2022",5,f_60,"Cozi provides a great way to coordinate schedules,shopping lists,and periodic events among family members. The upgrade to the premium version is well worthwhile for the improved calendaring and notification capabilities.",The upgrade to the premium version is well worthwhile for the improved calendaring and notification capabilities.,Joy,,,Joy,,,Joy,,,Joy,
Garmin Smartphone Link,TRAVEL_AND_LOCAL,92915d25-1870-4faf-bc4c-45599e6f8183,3,"Dec 14, 2021",1,f_26,"I am sorry to say but the app is absolute rubbish. Even though I have a compatible device Bluetooth connection absolutely broken which would have been my major use case so that I won't have to climb over my dash to type in an address. The gace that de app looks like it has not had a UI overhaul since 2007 just makes things worse. The only selling point of using a standalone GPS navigation is that is OZ land on a P license peeps are not allowed to use ""screen mirroring"" lik Android Auto.","The only selling point of using a standalone GPS navigation is that is OZ land on a P license peeps are not allowed to use ""screen mirroring"" lik Android Auto.",Neutral,,hard to say,Neutral,,,Surprise,,,Neutral,
"Squid: Take Notes, Markup PDFs",PRODUCTIVITY,f0cfe2b5-9d60-42fa-b53e-7379dc509e4f,1,"Sep 01, 2022",1,f_451,In their quick little blurb it ends with and share... But yet there is no way to share notebooks with friends. Also the only way to back up is through dropbox or box not even Google Drive,But yet there is no way to share notebooks with friends.,Sadness,,,Sadness,,,Sadness,Anticipation,,Sadness,
SimpleMind Pro - Mind Mapping,PRODUCTIVITY,b44217a6-a72b-403b-8df9-35f428eb7d30,3,"Apr 10, 2022",5,f_30,"Simply the best mind mapping app out there, with many features not found in other mind mapping apps.Does EXACTLY what I want it to.Fully customizable.Cloud sync. Gorgeous user interface. Slide show mode，and even an outliner. This is one fully- featured MM app, and, best of all, it's a ONE-TIME purchase.",Cloud sync.,Neutral,,,Neutral,,,Neutral,,,Neutral,
FocusMe,PRODUCTIVITY,4d99d62b-74ab-471a-aafa-be42d739507c,2,"Oct 19, 2020",4,f_36,"awesome free parental control app but with room for improvement. Since in WFH new normal, some schools are using Google classroom for online teaching. How can I permit these content (usually from the same youtube channels), while blocking other non school related contents being consumed.","How can I permit these content (usually from the same youtube channels), while blocking other non school related contents being consumed.",Anticipation,,it's an inquiry,Neutral,,,Neutral,,,Neutral,
ViewRanger,HEALTH_AND_FITNESS,b0023275-237d-4d7a-9bb6-c729dcec7b95,1,"Mar 11, 2022",1,f_410,Use it to 5 stars until forcing me to use a terrible app instead!! I have lost so many of my recorded tracks in the switch over!! The interface is terrible! Maps are terrible to read no way near as detailed as they use to be! The list goes on!,I have lost so many of my recorded tracks in the switch over!!,Anger,,,Sadness,,,Disgust,,,,
Todoist: to-do list & planner,PRODUCTIVITY,70604b51-b1bd-41b3-b327-7b16228f4762,2,"Jan 06, 2022",5,f_175,"I've been using todoist for years and it's gone from strength to strength. This app runs my life and I wouldn't have it any other way. Whether complex project management, medication reminders, payment schedules or shopping lists everything is simple to structure in an intuitive way that has kept me organised and on task.","Whether complex project management, medication reminders, payment schedules or shopping lists everything is simple to structure in an intuitive way that has kept me organised and on task.",Trust,,,Trust,,,Joy,,,Trust,
Huawei Health,HEALTH_AND_FITNESS,31502660-b867-4658-bb93-631c434d8571,3,"Dec 26, 2021",1,f_140,"Not able to use Huawei band 6 at all due to this app! Cannot link the device - when trying to link the device it tries to open the link page, but it fails and that is it! Device not linked - and I can't use the Band 6 at all, not even as a simple, stupid watch! I also have a video with the workflow, if anybody is interested...","I also have a video with the workflow, if anybody is interested...",Neutral,,,Neutral,,,Neutral,,,Neutral,
WAMR - Recover deleted message,COMMUNICATION,abea4343-cbcb-4484-b49c-67cbea0305b4,0,"May 24, 2022",1,f_117,"When a message is deleted, other text kind of repeated itself and doesnt look organize","When a message is deleted, other text kind of repeated itself and doesnt look organize",Sadness,Surprise,,Sadness,,,Sadness,Surprise,,Sadness,Surprise
"Squid: Take Notes, Markup PDFs",PRODUCTIVITY,2db328d6-09a2-456b-83fc-4c90f4f546f9,0,"May 05, 2022",4,f_378,"It's very good, it just needs OneDrive \ Google integration!","It's very good, it just needs OneDrive \ Google integration!",Joy,Anticipation,,Joy,Anticipation,,Joy,Anticipation,,Anticipation,Joy
Telegram X,SOCIAL,326401f5-9f10-43cc-9bd7-9456db339338,5,"Jun 18, 2022",4,f_188,"Looks pretty clear to me that this app is out of date. Need to update for the latest version like original Telegram. Some links I clicked is invalid or out of date app issues. The reason I use this app because this one is better than latest version and it allows you to browse any restrictions group and more features that I can't describe more. Edited: Since the update, developers noticed my review and solved some of my problems but only 1 thing, ""People nearby"" Hopefully this will be available.","Edited: Since the update, developers noticed my review and solved some of my problems but only 1 thing, ""People nearby"" Hopefully this will be available.",Anticipation,,,Joy,Anticipation,,Joy,,,Anticipation,Joy
"Squid: Take Notes, Markup PDFs",PRODUCTIVITY,5df0ac3f-a61c-4e7c-ab81-d7b6fbd13f12,3,"Jun 02, 2022",5,f_42,"Useful app for teaching. All the foundamentals features are implemented: cloud backup of the notes database providing seemless switch to new devices, cloud backup in pdf, export and edit notes. Recommended. Feature request: subfolders for better notes organization.",Feature request: subfolders for better notes organization.,Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
Pomodoro Timer,PRODUCTIVITY,c8454d7f-03e5-4597-836e-9eb6c967a960,0,"Jun 21, 2022",5,f_210,Customizable and free,Customizable and free,Joy,,,Joy,,,Joy,,,Joy,
WhatsApp Messenger,COMMUNICATION,872ce030-3cd6-4969-897d-36ee7deaf047,0,"Sep 13, 2022",5,f_15,"This is a wonderful app thankyou , kindly its my suggestion that you bring on bord the language translator option.......","This is a wonderful app thankyou , kindly its my suggestion that you bring on bord the language translator option.......",Joy,Anticipation,,Joy,Anticipation,,Joy,,,Joy,Anticipation
Instagram,SOCIAL,7336b4b4-7531-4e7f-9913-d2c41d5e8774,1,"Sep 13, 2022",1,f_262,"1. Gifs won't display over a link like on an iPhone. 2. All stickers won't display as positioned in story once live. 3. Drafts won't keep all stickers, music, and quiz once saved. 4. Quiz won't work when added to a story highlight after 24 hours. 5. Even on a Samsung Galaxy S22 Ultra, I'm having trouble with connection issues via WiFi and feature aren't available such as collab tagging.",2. All stickers won't display as positioned in story once live.,Sadness,,,Sadness,,,Sadness,,,Sadness,
Wemoji - WhatsApp Sticker Make,COMMUNICATION,420c9459-6337-4340-becc-28d44727aa7a,0,"Jun 05, 2022",3,f_80,Good for non animated stickers. Animated stickers don't work after processing them,Good for non animated stickers.,Joy,,,Joy,,,Joy,,,Joy,
KY3 Weather,WEATHER,7a3e663f-fcb6-47e0-abf1-3c4ba2c5a618,0,"Dec 31, 2021",1,f_117,"Every time I try to watch a weather video, it doesn't work and I get error messages on my phone, forcing me to restart my phone. This app is now deleted. All these 5 star reviews must be fake because this app F sucks!","Every time I try to watch a weather video, it doesn't work and I get error messages on my phone, forcing me to restart my phone.",Disgust,,,Sadness,,,Sadness,,,Sadness,
Ayoba,COMMUNICATION,fd7f660b-c50c-4c66-9eda-03a26d8f1491,2,"Sep 14, 2022",5,f_36,Seamless. Free 100mb for listening to music. Very interesting channel,Very interesting channel,Joy,,,Joy,,,Joy,,,Joy,
"Squid: Take Notes, Markup PDFs",PRODUCTIVITY,49a3db23-f20e-4278-925f-ba5a44990112,2,"Jan 20, 2022",5,f_76,"Awesome note-taking app, been using it for all of my college classes. Keeps things organized, I can color code my notes, and occasionally doodle. My only gripe is that I can't make folders for notes, they all just lay on the dashboard. I also wish I could change the color or add a picture to identify notes on the front page, they meld together when they're all blue. Edit: They're super receptive to feedback, requests, and ideas, such great app!","My only gripe is that I can't make folders for notes, they all just lay on the dashboard.",Sadness,Surprise,,Sadness,,,Sadness,,,Sadness,
