"app_name","categoryId","reviewId","sentenceId","at","score","feature","review","sentence","Joy","Trust","Fear","Surprise","Sadness","Disgust","Anger","Anticipation","Neutral","Reject"
"10K Running: 0-5K-10K Training","HEALTH_AND_FITNESS","a8cdaece-8be3-4f3f-97e8-b45bffaa78da","1","Jul 27, 2020","5","f_506","Great app! I use it all the time on the treadmill and free running. It has gradual steps to increase run time and you can go at your own pace by redoing any day once you feel you're being challenged.","I use it all the time on the treadmill and free running.","0","1","0","0","0","0","0","0","0","0"
"Loop Habit Tracker","PRODUCTIVITY","7d98edd8-2ac5-4451-89dd-d9d42b7d25d5","0","Sep 17, 2021","5","f_115","Great Habit Tracker without Ads. Would love to see a setting to have some habits automatically tic themselves. For tracking something like days having not done something etc.","Great Habit Tracker without Ads. Would love to see a setting to have some habits automatically tic themselves.","1","0","0","0","0","0","0","1","0","0"
"Play Services Info (Update)","TOOLS","cd668b1f-a912-43d9-80f4-ce2b9f948267","3","Mar 09, 2019","1","f_321","Warning this is not google it's caused alot of problems 4 me and ive had trouble with hacking, my files wont open cant get t things. need to make changes think twice ppl!!!!! check what u are downloading.its lke. dnt own my own dvice anymore its mirroring says storage s empty on my devce and its emulateted but from where and found my files transferred to a computer i dont own a computer so google up weberdo and check this out","its lke.","0","0","0","0","0","0","0","0","0","1"
"Instagram","SOCIAL","f43c4e64-6e46-454f-9686-adb40e821453","0","Sep 15, 2022","5","f_55","Super please hide chat option release","Super please hide chat option release","0","0","0","0","0","0","0","1","0","0"
"Samsung Notes","PRODUCTIVITY","82e5216f-6fde-45f1-9562-edefca18f454","2","Aug 19, 2022","5","f_283","I love samsung notes, its quick. If I need some important info, I open it up, type, it autosaves, so i just exit, thats it. I dont get bogged down with pop-up questions, or suggestions, or tutorials, it just works; thats what I want, and thats why I use it.","I dont get bogged down with pop-up questions, or suggestions, or tutorials, it just works; thats what I want, and thats why I use it.","0","1","0","0","0","0","0","0","0","0"
"Repeat Habit - Habit tracker f","PRODUCTIVITY","459c1a28-865c-4c4e-9933-2f55c933456d","1","Aug 06, 2019","3","f_257","Simple features but in complete. The app really needs to sync across devices. That's its major flaw. I'm searching for a better habit tracker.","The app really needs to sync across devices.","0","0","0","0","0","0","0","1","0","0"
"Weather data & microclimate :","WEATHER","c7d0066d-ecc4-4055-bd71-f2d568b7463f","1","Jul 26, 2022","1","f_140","The app has been changed in some way or now hosts advertisements which stop all other sound sources from your device while this app is open. This hijacking of the device soundstream is unchangeable and intolerable for me as I find it very disruptive to workflow. Finding a different app for weather data. Thanks folks at Wunderground!","This hijacking of the device soundstream is unchangeable and intolerable for me as I find it very disruptive to workflow.","0","0","0","0","0","1","0","0","0","0"
"Huawei Health","HEALTH_AND_FITNESS","8573c4e7-9f04-4afb-b8eb-12586590abba","3","Jul 02, 2022","1","f_133","I use it with a smart scale but don't like the app. It asks for too many permissions. Location? Phone calls? To use a smart scale? But even after giving permission, it stopped pairing with the scale, but it used to be bugous anyways. I just uninstalled.","Phone calls?","0","0","0","0","0","0","0","0","1","0"
"Snapchat","COMMUNICATION","709a1f60-d0de-4016-9931-640568571d7b","0","Sep 10, 2022","5","f_91","Best app for photo effects and sharing ur life's moments with the world","Best app for photo effects and sharing ur life's moments with the world","1","0","0","0","0","0","0","0","0","0"
"Joplin","PRODUCTIVITY","807b87e3-4575-48da-b1d7-3fb79f2363e3","0","Aug 14, 2022","5","f_482","I was looking for encryption and transparency for my notes so no one steals my info cause I do not trust Google notes","I was looking for encryption and transparency for my notes so no one steals my info cause I do not trust Google notes","0","0","0","0","0","0","0","0","0","0"
"OnePlus Health","TOOLS","601c451a-1b81-4b86-8617-0fbfd0fd54de","0","Jul 03, 2022","1","f_183","It shows steps in mobile app notification but not in app when we open it.","It shows steps in mobile app notification but not in app when we open it.","0","0","0","0","1","0","0","0","0","0"
"WhatsApp Wallpaper","PERSONALIZATION","a4dd318b-3e8f-4299-8c6c-db83d6bb256f","0","Nov 08, 2020","5","f_482","WhatsApp App Is Fantastic, Music Video's Play On Video in Picture Format View Video In Application Without Exiting WhatsApp Is Five Star Excellent, Especially Being End To End Encryption, Owned By Facebook And Supposedly Facebook Can't Even Read It... Well That Remain's Too Be Seen... Application Itself Is Five ☆","WhatsApp App Is Fantastic, Music Video's Play On Video in Picture Format View Video In Application Without Exiting WhatsApp Is Five Star Excellent, Especially Being End To End Encryption, Owned By Facebook And Supposedly Facebook Can't Even Read It... Well That Remain's Too Be Seen... Application Itself Is Five ☆","1","0","0","0","0","0","0","0","0","0"
"Steam Chat","COMMUNICATION","6b873139-bde5-4cf3-b6a2-f9dc5bdb1755","1","Dec 29, 2021","4","f_174","*Edit 28/12/21, Okay so I have recently redownloaded this app and the problem has now be fixed, so I can now recommend it. (Old) Steam Chat keeps on closing whenever I try to add a picture to one of the chats with my friends, it was the only reason I download it was so I can send memes to my friends when I am not on my PC. Also this app doesn't have much else going for it other then having a bit better chat system then the main Steam app. I will keep this score on it until they fix the bug.","(Old) Steam Chat keeps on closing whenever I try to add a picture to one of the chats with my friends, it was the only reason I download it was so I can send memes to my friends when I am not on my PC.","0","0","0","0","0","1","0","0","0","0"
"Google Keep - Notes and Lists","PRODUCTIVITY","8f258dca-c884-43b3-81bd-d3e4daecd836","0","Aug 29, 2022","2","f_245","It's good but there is a option needed export to HTML file .. please","It's good but there is a option needed export to HTML file .. please","1","0","0","0","0","0","0","1","0","0"
"Telegram","COMMUNICATION","a715ce44-92ce-491e-b707-3e6b9991bc6c","0","Sep 03, 2022","1","f_74","Secret chat immages don't show up just a blank screen or if you just set timers they are all blurred","Secret chat immages don't show up just a blank screen or if you just set timers they are all blurred","0","0","0","0","1","0","0","0","0","0"
"Signal Private Messenger","COMMUNICATION","5f0971ab-0ee4-4732-9f3d-f61309dd6f04","0","Sep 15, 2022","5","f_468","Truly private messaging in a well-working app.","Truly private messaging in a well-working app.","0","0","0","0","0","0","0","0","0","0"
"Google Keep - Notes and Lists","PRODUCTIVITY","5b6887bd-f218-4e1a-b26f-c3786259ae72","0","Sep 09, 2022","4","f_399","Google Keep 📒📝 is an E-Note App where we can save all our written subjects and records safely and securely in cloud storage system offered by 🌐 Google.","Google Keep 📒📝 is an E-Note App where we can save all our written subjects and records safely and securely in cloud storage system offered by 🌐 Google.","0","0","0","0","0","0","0","0","1","0"
"Post-it®","PRODUCTIVITY","380c54ab-1000-4448-8c3f-ee41b69afc5e","0","Jul 06, 2022","4","f_22","Very easy app for quick notes and reminders. Fast to learn. Lightweight. Excellent home screen widgets, best feature. Could be improved with a more obvious way to set widgets from the app. A lock screen widget would be AMAZING but I don't know if that's possible. Could also really use integration with Alexa/Google Home.","Very easy app for quick notes and reminders.","1","0","0","0","0","0","0","0","0","0"
"Daybook - Diary, Journal, Note","LIFESTYLE","ddb188d5-61ec-4ca0-ab1d-519d72e1f355","0","Jul 19, 2022","1","f_262","Unfortunately pretty much all of the features including tagging are hidden behind premium","Unfortunately pretty much all of the features including tagging are hidden behind premium","0","0","0","0","1","0","0","0","0","0"
"Waze Navigation & Live Traffic","MAPS_AND_NAVIGATION","ad2af358-b79a-46b8-901e-acf6945fe264","0","Sep 07, 2022","5","f_3","It's indispensable for its crowdsourced reporting. It is kind of quirky, but I can live with that. It does tend to reroute quite frequently which can be a tad annoying, and occasionally tries to make me do physically impossible turns, but all in all is my favourite nav app.","It's indispensable for its crowdsourced reporting.","0","0","0","0","0","0","0","0","1","0"
"Loop Habit Tracker","PRODUCTIVITY","8cb58576-53c1-4c7e-8491-0743bfd410d0","5","Jul 15, 2022","5","f_330","Love it! Very simple but very functional. Developer put all the efforts to make habit tracking effortless. You don't have open app to fill data. Most loving feature is its notification part it's exactly what I wanted (and I did even knew I wanted it). No ads, no subscription completely free.","No ads, no subscription completely free.","1","0","0","0","0","0","0","0","0","0"
"Weather & Clock Widget","WEATHER","7d990e96-356f-46de-bad2-6d45cbcda1eb","1","Apr 17, 2022","5","f_236","Update... Just upgraded to a new S22 Ultra and seem to have lost the ability to show 12 hour format (zero appears as first digit) on the large clock widget. Any suggestions?","Just upgraded to a new S22 Ultra and seem to have lost the ability to show 12 hour format (zero appears as first digit) on the large clock widget.","0","0","0","0","1","0","0","0","0","0"
"MixNote NotePad Notes","PRODUCTIVITY","eeb34aa7-ba1e-45a2-aafd-f50f187450ae","0","Jun 15, 2021","1","f_30","Okay the cloud sync was atleast working before , but now it barely functions. You can not choose your backup location so basically you will HAVE TO deal with the fact that all your data is going to be lost for ever if you plan to format phone, uninstall the app or even migrate to a new device.","Okay the cloud sync was atleast working before , but now it barely functions.","0","0","0","0","1","0","0","0","0","0"
"Doit.im for Android","PRODUCTIVITY","c16c9374-9be8-4981-b099-072c57827b4b","3","Apr 21, 2020","1","f_497","Can no longer email tasks to Doit.im with Pro account. Hard drives may be full up. Last international maintenance announcement was 01/01/2018. It was an excellent GTD app, sortable next actions and subtasks, integrate evernote, email, and gcal, widgets to make it front and center. Native desktop apps and review. Very competitive yearly cost for extras. But seems the development has not been very active with it anymore. 😣","It was an excellent GTD app, sortable next actions and subtasks, integrate evernote, email, and gcal, widgets to make it front and center.","0","0","0","0","0","0","0","0","0","0"
"Kik — Messaging & Chat App","COMMUNICATION","d01a4e60-2be6-4093-b86a-a9ba0b401a6b","0","Aug 30, 2022","1","f_220","I haven't been able to use the meet new people or group functions for a few weeks, when I went to support I couldn't find a category to help me and contacting support only showed me options that weren't fitting of what issues I've had. Contact support usually means contacting support, not sending an automated message saying that ""no further action will be taken""","I haven't been able to use the meet new people or group functions for a few weeks, when I went to support I couldn't find a category to help me and contacting support only showed me options that weren't fitting of what issues I've had.","0","0","0","0","1","0","0","0","0","0"
"MixNote NotePad Notes","PRODUCTIVITY","d5ba9d1d-381f-4123-8c74-2845da0a3d60","0","Sep 25, 2020","4","f_126","The app is really nice it is good, but that is not what I am leaving a comment, I am leaving one to tell the dev of this app to pleas pleas bring back Anole launcher, pleas. It was a really good launcher and I liked it allot, I don't know why you took it out, but pleas bring it back thanks, other than that the app is 5 stars I left a 4 to get your attention, but PLEAS bring it back thanks, your other apps are also really useful and I will recommend them to other people.","The app is really nice it is good, but that is not what I am leaving a comment, I am leaving one to tell the dev of this app to pleas pleas bring back Anole launcher, pleas.","1","0","0","0","0","0","0","1","0","0"
"ColorNote Notepad Notes","PRODUCTIVITY","fc2b6570-9f1e-4e34-9eb3-31086be353c1","1","Aug 02, 2022","5","f_102","This app replaced my old school pen and paper list (sometimes). It's easy to keep things in order from to-do list to grocery list. I love this app.","It's easy to keep things in order from to-do list to grocery list.","1","0","0","0","0","0","0","0","0","0"
"BlackNote Notepad Notes","PRODUCTIVITY","e1398ea7-4473-4c55-a5fa-6df7a567c813","1","Sep 08, 2022","5","f_72","This is one of the best note apps I've used There is a bit of a lack of multi device support but I haven't had any issues cause I can just log into my account on my phone and retrieve all my old notes. It's served me very well and I'll continue to use it forever until something else shows me it's much better. But yeah, very simple and easy to use. The list option is very useful. Everything auto saves if I close the app. It's perfect for what I use it for.","There is a bit of a lack of multi device support but I haven't had any issues cause I can just log into my account on my phone and retrieve all my old notes.","0","0","0","0","0","0","0","0","0","0"
"Fitbit","HEALTH_AND_FITNESS","ee9a1de5-ba56-4a76-8d43-97ddac4d8dbb","1","Sep 14, 2022","1","f_278","It is a shame I can't remove the only star I gave it last time. A lot of synchronization issues still when it is supposed to be a seamless process. Very poor performance.","A lot of synchronization issues still when it is supposed to be a seamless process.","0","0","0","0","1","0","0","0","0","0"
"SMS Organizer","COMMUNICATION","6d0c82b4-df7c-466e-95bd-f09205c6ee1b","0","Sep 10, 2022","4","f_118","Why I don't get notifications on app also like other messaging apps.","Why I don't get notifications on app also like other messaging apps.","0","0","0","1","1","0","0","0","0","0"
"Google Play Console","TOOLS","6097c445-2867-429c-be40-360f3a80664e","3","Aug 17, 2019","5","f_294","See app statistics, receive change notifications, reply to reviews. Access your Google Play Console data from your Android device. Review your app's performance statistics and financial data.Be notified about your app's status and publishing changes. Read and reply to user reviews on the go.Manage orders and refunds.View statistics by custom date range,with richer breakdowns and hourly data.Ratings now also show averages and cumulative totals.tell me more optional.deceptive add.content in Englis","Be notified about your app's status and publishing changes.","1","0","0","0","0","0","0","0","0","0"
"Pomodoro Timer","PRODUCTIVITY","469a532a-e73e-4114-adb3-3541d61df9d9","1","Jan 26, 2022","5","f_210","This is the perfect Pomodoro timer for my needs. Customizable, you can skip timers by tapping the name of the timer, SIMPLE, and can keep running in the background without it being open and screen unlocked.","Customizable, you can skip timers by tapping the name of the timer, SIMPLE, and can keep running in the background without it being open and screen unlocked.","1","0","0","0","0","0","0","0","0","0"
"MAPS.ME: Offline maps GPS Nav","TRAVEL_AND_LOCAL","aa672185-b919-46bb-9aed-4be92e44119f","1","Jun 13, 2022","2","f_252","Was once good. Now cannot import or export bookmarks!","Now cannot import or export bookmarks!","0","0","0","1","0","0","1","0","0","0"
"Weather","WEATHER","615612a5-0e7e-4032-9512-1d944cddf1fe","2","Sep 29, 2021","3","f_472","A clean simple app. Tells you all you really need. Radar needs a little work, seems to think I'm in another state.","Radar needs a little work, seems to think I'm in another state.","0","0","0","0","1","0","0","0","0","0"
"WhatsApp Messenger","COMMUNICATION","d7348a16-f2b5-4f6c-ae8b-246dec89fca0","0","Sep 14, 2022","2","f_117","Please add option to edit a sent message ! Telegram has it","Please add option to edit a sent message !","0","0","0","0","0","0","0","1","0","0"
"MAPS.ME: Offline maps GPS Nav","TRAVEL_AND_LOCAL","66570856-a525-4c52-9467-83190f6946f7","2","Jun 30, 2022","1","f_252","New update is brutal! Routing is harder and the bookmark icon covers the distance ffs! Can't log in since I traveling and have no access to my home phone so lost all my bookmarks! Sad it used to be the best app!","Can't log in since I traveling and have no access to my home phone so lost all my bookmarks!","0","0","0","0","0","0","1","0","0","0"
"5K Run - Couch to 5K Walk/Jog","HEALTH_AND_FITNESS","a6809c82-7ea9-4cec-8011-fbf7dcd496b5","5","Jun 26, 2020","5","f_330","Tried this for the first time today. Brillisby. Will follow through to the end😀 26th June Done 21 Runs. Now bought the app to be able to save my stats. Price very reasonable. No subscription.","No subscription.","0","0","0","0","0","0","0","0","1","0"
"Microsoft Translator","PRODUCTIVITY","441abba6-51a9-46bd-aa4b-1abcf3a2852c","0","Sep 02, 2022","5","f_15","Best App translator for all languages,...","Best App translator for all languages,...","1","0","0","0","0","0","0","0","0","0"
"Lifesum: Healthy Eating & Diet","HEALTH_AND_FITNESS","f5bb0822-11af-4447-8aca-bf71d3ef21e6","0","Aug 25, 2022","4","f_35","Just as good if bot better than myfitnesspal","Just as good if bot better than myfitnesspal","1","0","0","0","0","0","0","0","0","0"
"Google Meet","COMMUNICATION","95697498-7b60-4b74-8538-af3d4784d04e","3","Sep 15, 2022","1","f_235","It allows people to invade your privacy from there jobs computers and desktops.I will be inquiring about the rules and regulations of using there jobs equipment for personal reasons.There Administration will be contacted thru my family lawyer ASAP.FACTS are FACTS AND TRUTH CAN BE PROVEN ON EVERYTHING I HAVE EVER SAID.I HAVE THE DAY 1 texts and messages admitting my personal information so there wouldn't be any future issues.False insurance claims are being falsified and identity theft as well.","FACTS are FACTS AND TRUTH CAN BE PROVEN ON EVERYTHING I HAVE EVER SAID.I HAVE THE DAY 1 texts and messages admitting my personal information so there wouldn't be any future issues.","0","0","0","0","0","0","1","0","0","0"
"CoPilot GPS Navigation","MAPS_AND_NAVIGATION","55e32dfb-cb8f-4481-b5ac-36bade222130","0","Sep 14, 2022","5","f_240","Great app, only reviewing because your eastern map pack is glitches and once downloaded will not load maps or routing. However. It would be nice to have a folder option on our favorit menu and a few other options the other apps have.","Great app, only reviewing because your eastern map pack is glitches and once downloaded will not load maps or routing.","1","0","0","0","1","0","0","0","0","0"
"Stuff - To Do List Widget","PRODUCTIVITY","674e5a5e-f289-4b28-b47b-d67c0a14d418","2","Mar 27, 2022","1","f_153","I really like the app, but I don't have money to get a pro version of this app. So, that's why I can't customize my widget. I hope you will update the app with free customizing. Thank youuu!","I hope you will update the app with free customizing.","0","0","0","0","0","0","0","1","0","0"
"Google Meet","COMMUNICATION","9db8c75f-b014-4d22-b740-6848096027bb","0","Sep 15, 2022","1","f_128","Great video chat app! Now if Google could mesh Duo with Allo and not screw either one of them up. UPDATE! STOP CHANGING YOUR APPS! ONE STAR BECAUSE DUO IS NOW GOOGLE MEET! WHAT THE HELL GOOGLE!","Great video chat app!","1","0","0","0","0","0","0","0","0","0"
"D Notes - Notepad, Checklist a","PRODUCTIVITY","b4502093-b159-479f-bd0d-0d093596ec8e","0","Feb 11, 2022","5","f_252","The best notes ever , I've never seen better , you can export the notes and import them to any device, and it works perfectly, also you can customize colors and attach files to the notes, also pin notes as notification and add bookmarks thanks Dnotes","The best notes ever , I've never seen better , you can export the notes and import them to any device, and it works perfectly, also you can customize colors and attach files to the notes, also pin notes as notification and add bookmarks thanks Dnotes","0","1","0","0","0","0","0","0","0","0"
"Wemoji - WhatsApp Sticker Make","COMMUNICATION","c8df39a0-6fea-45b0-a41f-82f40656ff63","0","Apr 22, 2022","4","f_32","Could simplify the part where the sticker is taken to the final layout after cropping.","Could simplify the part where the sticker is taken to the final layout after cropping.","0","0","0","0","0","0","0","1","0","0"
"MAPS.ME: Offline maps GPS Nav","TRAVEL_AND_LOCAL","708b60b8-f4e2-452a-a28f-9788436ca34a","3","Jul 07, 2022","1","f_252","My app updated Jul 3, 2022. The update eliminated how I use the app. I can no longer turn a single bookmark-route on and off. The only option is to turn on ALL the bookmarked routes. This is useless. It was a great app. I'm now looking for something to replace it.","The only option is to turn on ALL the bookmarked routes.","0","0","0","0","1","0","0","0","0","0"
"Wemoji - WhatsApp Sticker Make","COMMUNICATION","5146e585-d55e-485b-86a4-556590d659f0","0","Oct 13, 2021","5","f_271","Does exactly what it's supposed to do and it does it well - whatsapp stickers. I am however a little worried about there possibly being a compiler within the app. I do not understand why it would otherwise pop-up as a suggestion whenever I would want to install an "".apk"" file.","Does exactly what it's supposed to do and it does it well - whatsapp stickers.","1","0","0","0","0","0","0","0","0","0"
"Samsung Notes","PRODUCTIVITY","bbefa982-cdf6-446e-8f32-62b78d673995","0","Aug 14, 2022","5","f_432","Perfect for Study & Diary writing","Perfect for Study & Diary writing","1","0","0","0","0","0","0","0","0","0"
"Google Assistant Go","TOOLS","6ba78ebf-458e-44a3-ae27-01ec9645d42d","0","Jul 26, 2022","4","f_230","I love the app she's fun but she doesn't make calls for me and that's really annoying I think she needs an updating","I love the app she's fun but she doesn't make calls for me and that's really annoying I think she needs an updating","1","0","0","0","1","0","0","0","0","0"
